КодЗаказа,КодКлиента,КодСотрудника,ДатаРазмещения,ДатаНазначения,ДатаИсполнения,Доставка,СтоимостьДоставки,НазваниеПолучателя,АдресПолучателя,ГородПолучателя,ОбластьПолучателя,ИндексПолучателя,СтранаПолучателя
10389,"BOTTM",4,"12/20/96 00:00:00","01/17/97 00:00:00","12/24/96 00:00:00",2,47.4200,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10390,"ERNSH",6,"12/23/96 00:00:00","01/20/97 00:00:00","12/26/96 00:00:00",1,126.3800,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10391,"DRACD",3,"12/23/96 00:00:00","01/20/97 00:00:00","12/31/96 00:00:00",3,5.4500,"Drachenblut Delikatessen","Walserweg 21","Ахен",,"52066","Германия"
10392,"PICCO",2,"12/24/96 00:00:00","01/21/97 00:00:00","01/01/97 00:00:00",3,122.4600,"Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10393,"SAVEA",1,"12/25/96 00:00:00","01/22/97 00:00:00","01/03/97 00:00:00",3,126.5600,"Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10394,"HUNGC",1,"12/25/96 00:00:00","01/22/97 00:00:00","01/03/97 00:00:00",3,30.3400,"Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10395,"HILAA",6,"12/26/96 00:00:00","01/23/97 00:00:00","01/03/97 00:00:00",1,184.4100,"HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10396,"FRANK",1,"12/27/96 00:00:00","01/10/97 00:00:00","01/06/97 00:00:00",3,135.3500,"Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10397,"PRINI",5,"12/27/96 00:00:00","01/24/97 00:00:00","01/02/97 00:00:00",1,60.2600,"Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10398,"SAVEA",2,"12/30/96 00:00:00","01/27/97 00:00:00","01/09/97 00:00:00",3,89.1600,"Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10399,"VAFFE",8,"12/31/96 00:00:00","01/14/97 00:00:00","01/08/97 00:00:00",3,27.3600,"Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10400,"EASTC",1,"01/01/97 00:00:00","01/29/97 00:00:00","01/16/97 00:00:00",3,83.9300,"Eastern Connection","35 King George","Лондон",,"WX3 6FW","Великобритания"
10401,"RATTC",1,"01/01/97 00:00:00","01/29/97 00:00:00","01/10/97 00:00:00",1,12.5100,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10402,"ERNSH",8,"01/02/97 00:00:00","02/13/97 00:00:00","01/10/97 00:00:00",2,67.8800,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10403,"ERNSH",4,"01/03/97 00:00:00","01/31/97 00:00:00","01/09/97 00:00:00",3,73.7900,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10404,"MAGAA",2,"01/03/97 00:00:00","01/31/97 00:00:00","01/08/97 00:00:00",1,155.9700,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10405,"LINOD",1,"01/06/97 00:00:00","02/03/97 00:00:00","01/22/97 00:00:00",1,34.8200,"LINO-Delicateses","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэлла"
10406,"QUEEN",7,"01/07/97 00:00:00","02/18/97 00:00:00","01/13/97 00:00:00",1,108.0400,"Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10407,"OTTIK",2,"01/07/97 00:00:00","02/04/97 00:00:00","01/30/97 00:00:00",2,91.4800,"Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
10408,"FOLIG",8,"01/08/97 00:00:00","02/05/97 00:00:00","01/14/97 00:00:00",1,11.2600,"Folies gourmandes","184, chaussee de Tournai","Лилль",,"59000","Франция"
10409,"OCEAN",3,"01/09/97 00:00:00","02/06/97 00:00:00","01/14/97 00:00:00",1,29.8300,"Oceano Atlantico Ltda.","Ing. Gustavo Moncada 8585
Piso 20-A","Буэнос-Айрес",,"1010","Аргентина"
10410,"BOTTM",3,"01/10/97 00:00:00","02/07/97 00:00:00","01/15/97 00:00:00",3,2.4000,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10411,"BOTTM",9,"01/10/97 00:00:00","02/07/97 00:00:00","01/21/97 00:00:00",3,23.6500,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10412,"WARTH",8,"01/13/97 00:00:00","02/10/97 00:00:00","01/15/97 00:00:00",2,3.7700,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10413,"LAMAI",3,"01/14/97 00:00:00","02/11/97 00:00:00","01/16/97 00:00:00",2,95.6600,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10414,"FAMIA",2,"01/14/97 00:00:00","02/11/97 00:00:00","01/17/97 00:00:00",3,21.4800,"Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10415,"HUNGC",3,"01/15/97 00:00:00","02/12/97 00:00:00","01/24/97 00:00:00",1,0.2000,"Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10416,"WARTH",8,"01/16/97 00:00:00","02/13/97 00:00:00","01/27/97 00:00:00",3,22.7200,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10417,"SIMOB",4,"01/16/97 00:00:00","02/13/97 00:00:00","01/28/97 00:00:00",3,70.2900,"Simons bistro","Vinbaeltet 34","Копенгаген",,"1734","Дания"
10418,"QUICK",4,"01/17/97 00:00:00","02/14/97 00:00:00","01/24/97 00:00:00",1,17.5500,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10419,"RICSU",4,"01/20/97 00:00:00","02/17/97 00:00:00","01/30/97 00:00:00",2,137.3500,"Richter Supermarkt","Starenweg 5","Женева",,"1204","Швейцария"
10420,"WELLI",3,"01/21/97 00:00:00","02/18/97 00:00:00","01/27/97 00:00:00",1,44.1200,"Wellington Importadora","Rua do Mercado, 12","Ресенде","SP","08737-363","Бразилия"
10421,"QUEDE",8,"01/21/97 00:00:00","03/04/97 00:00:00","01/27/97 00:00:00",1,99.2300,"Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10422,"FRANS",2,"01/22/97 00:00:00","02/19/97 00:00:00","01/31/97 00:00:00",1,3.0200,"Franchi S.p.A.","Via Monte Bianco 34","Турин",,"10100","Италия"
10423,"GOURL",6,"01/23/97 00:00:00","02/06/97 00:00:00","02/24/97 00:00:00",3,24.5000,"Gourmet Lanchonetes","Av. Brasil, 442","Кампинас","SP","04876-786","Бразилия"
10424,"MEREP",7,"01/23/97 00:00:00","02/20/97 00:00:00","01/27/97 00:00:00",2,370.6100,"Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10425,"LAMAI",6,"01/24/97 00:00:00","02/21/97 00:00:00","02/14/97 00:00:00",2,7.9300,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10426,"GALED",4,"01/27/97 00:00:00","02/24/97 00:00:00","02/06/97 00:00:00",1,18.6900,"Galeria del gastronomo","Rambla de Cataluna, 23","Барселона",,"8022","Испания"
10427,"PICCO",4,"01/27/97 00:00:00","02/24/97 00:00:00","03/03/97 00:00:00",2,31.2900,"Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10428,"REGGC",7,"01/28/97 00:00:00","02/25/97 00:00:00","02/04/97 00:00:00",1,11.0900,"Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10429,"HUNGO",3,"01/29/97 00:00:00","03/12/97 00:00:00","02/07/97 00:00:00",2,56.6300,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10430,"ERNSH",4,"01/30/97 00:00:00","02/13/97 00:00:00","02/03/97 00:00:00",1,458.7800,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10431,"BOTTM",4,"01/30/97 00:00:00","02/13/97 00:00:00","02/07/97 00:00:00",2,44.1700,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10432,"SPLIR",3,"01/31/97 00:00:00","02/14/97 00:00:00","02/07/97 00:00:00",2,4.3400,"Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10433,"PRINI",3,"02/03/97 00:00:00","03/03/97 00:00:00","03/04/97 00:00:00",3,73.8300,"Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10434,"FOLKO",3,"02/03/97 00:00:00","03/03/97 00:00:00","02/13/97 00:00:00",2,17.9200,"Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10435,"CONSH",8,"02/04/97 00:00:00","03/18/97 00:00:00","02/07/97 00:00:00",2,9.2100,"Consolidated Holdings","Berkeley Gardens
12  Brewery ","Лондон",,"WX1 6LT","Великобритания"
10436,"BLONP",3,"02/05/97 00:00:00","03/05/97 00:00:00","02/11/97 00:00:00",2,156.6600,"Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10437,"WARTH",8,"02/05/97 00:00:00","03/05/97 00:00:00","02/12/97 00:00:00",1,19.9700,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10438,"TOMSP",3,"02/06/97 00:00:00","03/06/97 00:00:00","02/14/97 00:00:00",2,8.2400,"Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10439,"MEREP",6,"02/07/97 00:00:00","03/07/97 00:00:00","02/10/97 00:00:00",3,4.0700,"Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10440,"SAVEA",4,"02/10/97 00:00:00","03/10/97 00:00:00","02/28/97 00:00:00",2,86.5300,"Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10441,"OLDWO",3,"02/10/97 00:00:00","03/24/97 00:00:00","03/14/97 00:00:00",2,73.0200,"Old World Delicatessen","2743 Bering St.","Анкоридж","AK","99508","США"
10442,"ERNSH",3,"02/11/97 00:00:00","03/11/97 00:00:00","02/18/97 00:00:00",2,47.9400,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10443,"REGGC",8,"02/12/97 00:00:00","03/12/97 00:00:00","02/14/97 00:00:00",1,13.9500,"Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10444,"BERGS",3,"02/12/97 00:00:00","03/12/97 00:00:00","02/21/97 00:00:00",3,3.5000,"Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10445,"BERGS",3,"02/13/97 00:00:00","03/13/97 00:00:00","02/20/97 00:00:00",1,9.3000,"Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10446,"TOMSP",6,"02/14/97 00:00:00","03/14/97 00:00:00","02/19/97 00:00:00",1,14.6800,"Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10447,"RICAR",4,"02/14/97 00:00:00","03/14/97 00:00:00","03/07/97 00:00:00",2,68.6600,"Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10448,"RANCH",4,"02/17/97 00:00:00","03/17/97 00:00:00","02/24/97 00:00:00",2,38.8200,"Rancho grande","Av. del Libertador 900","Буэнос-Айрес",,"1010","Аргентина"
10449,"BLONP",3,"02/18/97 00:00:00","03/18/97 00:00:00","02/27/97 00:00:00",2,53.3000,"Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10450,"VICTE",8,"02/19/97 00:00:00","03/19/97 00:00:00","03/11/97 00:00:00",2,7.2300,"Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10451,"QUICK",4,"02/19/97 00:00:00","03/05/97 00:00:00","03/12/97 00:00:00",3,189.0900,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10452,"SAVEA",8,"02/20/97 00:00:00","03/20/97 00:00:00","02/26/97 00:00:00",1,140.2600,"Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10453,"AROUT",1,"02/21/97 00:00:00","03/21/97 00:00:00","02/26/97 00:00:00",2,25.3600,"Around the Horn","Brook Farm
Stratford St. Mary","Колчестер","Essex","CO7 6JX","Великобритания"
10454,"LAMAI",4,"02/21/97 00:00:00","03/21/97 00:00:00","02/25/97 00:00:00",3,2.7400,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10455,"WARTH",8,"02/24/97 00:00:00","04/07/97 00:00:00","03/03/97 00:00:00",2,180.4500,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10456,"KOENE",8,"02/25/97 00:00:00","04/08/97 00:00:00","02/28/97 00:00:00",2,8.1200,"Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10457,"KOENE",2,"02/25/97 00:00:00","03/25/97 00:00:00","03/03/97 00:00:00",1,11.5700,"Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10458,"SUPRD",7,"02/26/97 00:00:00","03/26/97 00:00:00","03/04/97 00:00:00",3,147.0600,"Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10459,"VICTE",4,"02/27/97 00:00:00","03/27/97 00:00:00","02/28/97 00:00:00",2,25.0900,"Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10460,"FOLKO",8,"02/28/97 00:00:00","03/28/97 00:00:00","03/03/97 00:00:00",1,16.2700,"Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10461,"LILAS",1,"02/28/97 00:00:00","03/28/97 00:00:00","03/05/97 00:00:00",3,148.6100,"LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10462,"CONSH",2,"03/03/97 00:00:00","03/31/97 00:00:00","03/18/97 00:00:00",1,6.1700,"Consolidated Holdings","Berkeley Gardens
12  Brewery ","Лондон",,"WX1 6LT","Великобритания"
10463,"SUPRD",5,"03/04/97 00:00:00","04/01/97 00:00:00","03/06/97 00:00:00",3,14.7800,"Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10464,"FURIB",4,"03/04/97 00:00:00","04/01/97 00:00:00","03/14/97 00:00:00",2,89.0000,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10465,"VAFFE",1,"03/05/97 00:00:00","04/02/97 00:00:00","03/14/97 00:00:00",3,145.0400,"Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10466,"COMMI",4,"03/06/97 00:00:00","04/03/97 00:00:00","03/13/97 00:00:00",1,11.9300,"Comercio Mineiro","Av. dos Lusiadas, 23","Сан-Пауло","SP","05432-043","Бразилия"
10467,"MAGAA",8,"03/06/97 00:00:00","04/03/97 00:00:00","03/11/97 00:00:00",2,4.9300,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10468,"KOENE",3,"03/07/97 00:00:00","04/04/97 00:00:00","03/12/97 00:00:00",3,44.1200,"Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10469,"WHITC",1,"03/10/97 00:00:00","04/07/97 00:00:00","03/14/97 00:00:00",1,60.1800,"White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10470,"BONAP",4,"03/11/97 00:00:00","04/08/97 00:00:00","03/14/97 00:00:00",2,64.5600,"Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10471,"BSBEV",2,"03/11/97 00:00:00","04/08/97 00:00:00","03/18/97 00:00:00",3,45.5900,"B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10472,"SEVES",8,"03/12/97 00:00:00","04/09/97 00:00:00","03/19/97 00:00:00",1,4.2000,"Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10473,"ISLAT",1,"03/13/97 00:00:00","03/27/97 00:00:00","03/21/97 00:00:00",3,16.3700,"Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10474,"PERIC",5,"03/13/97 00:00:00","04/10/97 00:00:00","03/21/97 00:00:00",2,83.4900,"Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10475,"SUPRD",9,"03/14/97 00:00:00","04/11/97 00:00:00","04/04/97 00:00:00",1,68.5200,"Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10476,"HILAA",8,"03/17/97 00:00:00","04/14/97 00:00:00","03/24/97 00:00:00",3,4.4100,"HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10477,"PRINI",5,"03/17/97 00:00:00","04/14/97 00:00:00","03/25/97 00:00:00",2,13.0200,"Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10478,"VICTE",2,"03/18/97 00:00:00","04/01/97 00:00:00","03/26/97 00:00:00",3,4.8100,"Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10479,"RATTC",3,"03/19/97 00:00:00","04/16/97 00:00:00","03/21/97 00:00:00",3,708.9500,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10480,"FOLIG",6,"03/20/97 00:00:00","04/17/97 00:00:00","03/24/97 00:00:00",2,1.3500,"Folies gourmandes","184, chaussee de Tournai","Лилль",,"59000","Франция"
10481,"RICAR",8,"03/20/97 00:00:00","04/17/97 00:00:00","03/25/97 00:00:00",2,64.3300,"Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10482,"LAZYK",1,"03/21/97 00:00:00","04/18/97 00:00:00","04/10/97 00:00:00",3,7.4800,"Lazy K Kountry Store","12 Orchestra Terrace","Уолла-Уолла","WA","99362","США"
10483,"WHITC",7,"03/24/97 00:00:00","04/21/97 00:00:00","04/25/97 00:00:00",2,15.2800,"White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10484,"BSBEV",3,"03/24/97 00:00:00","04/21/97 00:00:00","04/01/97 00:00:00",3,6.8800,"B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10485,"LINOD",4,"03/25/97 00:00:00","04/08/97 00:00:00","03/31/97 00:00:00",2,64.4500,"LINO-Delicateses","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэлла"
10486,"HILAA",1,"03/26/97 00:00:00","04/23/97 00:00:00","04/02/97 00:00:00",2,30.5300,"HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10487,"QUEEN",2,"03/26/97 00:00:00","04/23/97 00:00:00","03/28/97 00:00:00",2,71.0700,"Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10488,"FRANK",8,"03/27/97 00:00:00","04/24/97 00:00:00","04/02/97 00:00:00",2,4.9300,"Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10489,"PICCO",6,"03/28/97 00:00:00","04/25/97 00:00:00","04/09/97 00:00:00",2,5.2900,"Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10490,"HILAA",7,"03/31/97 00:00:00","04/28/97 00:00:00","04/03/97 00:00:00",2,210.1900,"HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10491,"FURIB",8,"03/31/97 00:00:00","04/28/97 00:00:00","04/08/97 00:00:00",3,16.9600,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10492,"BOTTM",3,"04/01/97 00:00:00","04/29/97 00:00:00","04/11/97 00:00:00",1,62.8900,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10493,"LAMAI",4,"04/02/97 00:00:00","04/30/97 00:00:00","04/10/97 00:00:00",3,10.6400,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10494,"COMMI",4,"04/02/97 00:00:00","04/30/97 00:00:00","04/09/97 00:00:00",2,65.9900,"Comercio Mineiro","Av. dos Lusiadas, 23","Сан-Пауло","SP","05432-043","Бразилия"
10495,"LAUGB",3,"04/03/97 00:00:00","05/01/97 00:00:00","04/11/97 00:00:00",3,4.6500,"Laughing Bacchus Wine Cellars","2319 Elm St.","Ванкувер","BC","V3F 2K1","Канада"
10496,"TRADH",7,"04/04/97 00:00:00","05/02/97 00:00:00","04/07/97 00:00:00",2,46.7700,"Tradicao Hipermercados","Av. Ines de Castro, 414","Сан-Пауло","SP","05634-030","Бразилия"
10497,"LEHMS",7,"04/04/97 00:00:00","05/02/97 00:00:00","04/07/97 00:00:00",1,36.2100,"Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10498,"HILAA",8,"04/07/97 00:00:00","05/05/97 00:00:00","04/11/97 00:00:00",2,29.7500,"HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10499,"LILAS",4,"04/08/97 00:00:00","05/06/97 00:00:00","04/16/97 00:00:00",2,102.0200,"LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10500,"LAMAI",6,"04/09/97 00:00:00","05/07/97 00:00:00","04/17/97 00:00:00",1,42.6800,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10501,"LINOD",9,"04/09/97 00:00:00","05/07/97 00:00:00","04/16/97 00:00:00",1,8.8500,"LINO-Delicateses","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэлла"
10502,"PERIC",2,"04/10/97 00:00:00","05/08/97 00:00:00","04/29/97 00:00:00",1,69.3200,"Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10503,"HUNGO",6,"04/11/97 00:00:00","05/09/97 00:00:00","04/16/97 00:00:00",2,16.7400,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10504,"WHITC",4,"04/11/97 00:00:00","05/09/97 00:00:00","04/18/97 00:00:00",3,59.1300,"White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10505,"MEREP",3,"04/14/97 00:00:00","05/12/97 00:00:00","04/21/97 00:00:00",3,7.1300,"Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10506,"KOENE",9,"04/15/97 00:00:00","05/13/97 00:00:00","05/02/97 00:00:00",2,21.1900,"Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10507,"ANTON",7,"04/15/97 00:00:00","05/13/97 00:00:00","04/22/97 00:00:00",1,47.4500,"Antonio Moreno Taqueria","Mataderos  2312","Мехико",,"05023","Мексика"
10508,"OTTIK",1,"04/16/97 00:00:00","05/14/97 00:00:00","05/13/97 00:00:00",2,4.9900,"Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
10509,"BLAUS",4,"04/17/97 00:00:00","05/15/97 00:00:00","04/29/97 00:00:00",1,0.1500,"Blauer See Delikatessen","Forsterstr. 57","Мангейм",,"68306","Германия"
10510,"SAVEA",6,"04/18/97 00:00:00","05/16/97 00:00:00","04/28/97 00:00:00",3,367.6300,"Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10511,"BONAP",4,"04/18/97 00:00:00","05/16/97 00:00:00","04/21/97 00:00:00",3,350.6400,"Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10512,"FAMIA",7,"04/21/97 00:00:00","05/19/97 00:00:00","04/24/97 00:00:00",2,3.5300,"Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10513,"WANDK",7,"04/22/97 00:00:00","06/03/97 00:00:00","04/28/97 00:00:00",1,105.6500,"Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10514,"ERNSH",3,"04/22/97 00:00:00","05/20/97 00:00:00","05/16/97 00:00:00",2,789.9500,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10515,"QUICK",2,"04/23/97 00:00:00","05/07/97 00:00:00","05/23/97 00:00:00",1,204.4700,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10516,"HUNGO",2,"04/24/97 00:00:00","05/22/97 00:00:00","05/01/97 00:00:00",3,62.7800,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10517,"NORTS",3,"04/24/97 00:00:00","05/22/97 00:00:00","04/29/97 00:00:00",3,32.0700,"North/South","South House
300 Queensbridge","Лондон",,"SW7 1RZ","Великобритания"
10518,"TORTU",4,"04/25/97 00:00:00","05/09/97 00:00:00","05/05/97 00:00:00",2,218.1500,"Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10519,"CHOPS",6,"04/28/97 00:00:00","05/26/97 00:00:00","05/01/97 00:00:00",3,91.7600,"Chop-suey Chinese","Hauptstr. 31","Берн",,"3012","Швейцария"
10520,"SANTG",7,"04/29/97 00:00:00","05/27/97 00:00:00","05/01/97 00:00:00",1,13.3700,"Sante Gourmet","Erling Skakkes gate 78","Ставерен",,"4110","Норвегия"
10521,"CACTU",8,"04/29/97 00:00:00","05/27/97 00:00:00","05/02/97 00:00:00",2,17.2200,"Cactus Comidas para llevar","Cerrito 333","Буэнос-Айрес",,"1010","Аргентина"
10522,"LEHMS",4,"04/30/97 00:00:00","05/28/97 00:00:00","05/06/97 00:00:00",1,45.3300,"Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10523,"SEVES",7,"05/01/97 00:00:00","05/29/97 00:00:00","05/30/97 00:00:00",2,77.6300,"Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10524,"BLAUS",1,"05/01/97 00:00:00","05/29/97 00:00:00","05/07/97 00:00:00",2,244.7900,"Blauer See Delikatessen","Forsterstr. 57","Мангейм",,"68306","Германия"
10525,"BONAP",1,"05/02/97 00:00:00","05/30/97 00:00:00","05/23/97 00:00:00",2,11.0600,"Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10526,"WARTH",4,"05/05/97 00:00:00","06/02/97 00:00:00","05/15/97 00:00:00",2,58.5900,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10527,"QUICK",7,"05/05/97 00:00:00","06/02/97 00:00:00","05/07/97 00:00:00",1,41.9000,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10528,"GREAL",6,"05/06/97 00:00:00","05/20/97 00:00:00","05/09/97 00:00:00",2,3.3500,"Great Lakes Food Market","2732 Baker Blvd.","Юджин","OR","97403","США"
10529,"MAISD",5,"05/07/97 00:00:00","06/04/97 00:00:00","05/09/97 00:00:00",2,66.6900,"Maison Dewey","Rue Joseph-Bens 532","Брюссель",,"B-1180","Бельгия"
